Country,Indicator,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
"Korea, Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,,,,1,,,1,,,1,1,1,,,,1,2,1,1,2,2,1,,2,1,1,1,1,,,2,,,1,,,,,,2,,1
"Korea, Rep. of","Climate related disasters frequency, Number of Disasters: Landslide",,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,
"Korea, Rep. of","Climate related disasters frequency, Number of Disasters: Storm",2,1,2,,,1,1,2,,1,1,1,1,1,1,2,,,3,1,2,1,3,1,4,3,,1,,,1,,3,,2,,1,,,3,3,1,1
"Korea, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2,2,2,,2,1,1,3,1,1,3,2,2,2,1,2,2,2,4,2,5,4,4,1,7,5,1,2,1,,1,3,3,,3,,2,,1,4,5,1,4
"Korea, Rep. of","Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,1,,,1
Kuwait,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
Kuwait,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
Kyrgyz Rep.,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Kyrgyz Rep.,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1
Kyrgyz Rep.,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,1,,,,,,,,,,
Kyrgyz Rep.,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,2,,,,,,,,1,1,3,,,,,,1,,,,,,,1,,,,1,
Kyrgyz Rep.,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
Kyrgyz Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,2,,,,1,,1,,1,1,3,1,1,1,,1,1,,2,,1,,,1,,,,1,1
Lao People's Dem. Rep.,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,
Lao People's Dem. Rep.,"Climate related disasters frequency, Number of Disasters: Flood",,1,,,1,,,,,,,1,1,,1,2,1,,,,1,1,1,,,,,,1,1,,2,,2,1,2,1,,1,1,,,1
Lao People's Dem. Rep.,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,1,2,,2,1,
Lao People's Dem. Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",,1,,,1,,,1,1,,,3,2,1,1,3,1,,,1,1,1,1,,,,,,1,2,,2,,2,1,2,1,1,3,2,2,1,1
Latvia,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,1,,,,,,,,,,
Latvia,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,
Latvia,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,,,,1,,1,,1,,3,,,,,,,1,,,,,,1,,,,
Latvia,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Lebanon,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Lebanon,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,3,,,1,1,,,
Lebanon,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,1,,,,,1,,,,,,,,,,1,1,,,,1,,,,,,,,3,,,1,1,1,,
Lebanon,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
"Lesotho, Kingdom of","Climate related disasters frequency, Number of Disasters: Drought",,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,1,,,,,1,,,1,1,,
"Lesotho, Kingdom of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
"Lesotho, Kingdom of","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,1,,,,,,,1,,,,,2,,,,,,,1,,,,,,1,,,,,,,1,
"Lesotho, Kingdom of","Climate related disasters frequency, Number of Disasters: TOTAL",,,,1,,1,,1,,1,2,,,,,,1,,,,,2,1,,,,,1,1,,,3,,,1,,1,,,1,1,1,
Liberia,"Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,1,,,,,,1,,,,,,
Liberia,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Liberia,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,2,1,1,1,,,,,,1,,,,,,
Libya,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,
Libya,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,
Lithuania,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
Lithuania,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,2,,,,,,1,,,,
Lithuania,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
Lithuania,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
Lithuania,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,1,1,,,,,,2,,1,,,,2,1,,,,2,,2,,,,,,2,,,,
Luxembourg,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Luxembourg,"Climate related disasters frequency, Number of Disasters: Flood",,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Luxembourg,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,6,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
Luxembourg,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,1,,,,,,,6,,,1,,1,,,,,,,,1,,,,,,,1,,,,,,,,,1,,1,
"Madagascar, Rep. of","Climate related disasters frequency, Number of Disasters: Drought",,1,,,,,,,1,,,,,,,,,,,,1,,1,,,1,,,1,,,,,,1,,1,1,,,1,,
"Madagascar, Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,1,,,,,,,,,,,,1,,,,,1,,2,,1,,,,,,,,1,,,,1,1,1,1
"Madagascar, Rep. of","Climate related disasters frequency, Number of Disasters: Storm",,1,1,1,1,,1,,,1,,1,,,3,,1,2,,,2,,3,3,2,1,2,3,3,3,1,1,3,2,1,2,,1,2,2,1,1,6
"Madagascar, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",,2,1,1,1,,2,,1,1,,1,,,3,,1,2,1,,3,,4,4,2,4,2,4,4,3,1,1,3,2,2,3,1,2,2,3,3,2,7
Malawi,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,1,,,1,,1,,,,,,,,,,1,,,1,,1,,,,,1,,,1,,,,,,,1
Malawi,"Climate related disasters frequency, Number of Disasters: Flood",,,1,,,,,,,1,,1,,,,2,,1,1,1,1,2,2,2,,1,2,4,1,,1,3,2,1,,1,1,1,3,2,1,,1
Malawi,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Malawi,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,1,2
Malawi,"Climate related disasters frequency, Number of Disasters: TOTAL",,,1,,,,,1,,1,1,1,1,,,2,,1,1,1,1,2,3,2,,3,2,5,1,,1,3,4,1,,3,1,1,3,3,1,1,4
Malaysia,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
Malaysia,"Climate related disasters frequency, Number of Disasters: Flood",,,,1,,,1,1,1,,,,,1,,,1,,1,1,1,4,,3,3,2,4,2,2,2,,1,,1,1,1,4,3,2,4,5,8,5
Malaysia,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,1
Malaysia,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,1,1,,,1,,1,,2,,,,,,,,,,,,,1,,,,,
Malaysia,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,1,,,1,1,1,,,,,1,,2,3,2,3,1,2,4,2,3,5,3,4,2,2,2,,2,,1,2,1,4,4,2,4,5,8,6
Malaysia,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
Maldives,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
Maldives,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Maldives,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,
Mali,"Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,,,,1,,,,,,,,,,1,,,,1,1,,,,1,1,,,,,,,,,1,,1
Mali,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,1,1,,,,,,,,,2,1,1,1,1,1,,2,1,2,1,1,2,1,,2,,1,1,,1,2,,,1
Mali,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,,,,,1,1,,1,,,,,,,2,1,1,2,1,1,,3,2,2,1,1,3,2,,2,,1,1,,1,2,1,,2
"Marshall Islands, Rep. of the","Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1
"Marshall Islands, Rep. of the","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
"Marshall Islands, Rep. of the","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Marshall Islands, Rep. of the","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,1,,,,1
"Mauritania, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,1,1,,,,,,1,1,,1,,
"Mauritania, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,,,,1,1,,,,,,,,,,1,,,,2,,1,1,1,,1,2,2,,1,1,,,1,,,,,,1,2,,1
"Mauritania, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,
"Mauritania, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,1,1,,,,,,1,,1,,1,,1,,3,,2,1,1,,1,2,2,,1,2,1,,1,,,,2,1,1,3,,1
Mauritius,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Mauritius,"Climate related disasters frequency, Number of Disasters: Storm",,,2,1,,,,,,1,,1,,,1,,1,,,1,,,1,,,,,1,,,,,,,,,,,1,,,,1
Mauritius,"Climate related disasters frequency, Number of Disasters: TOTAL",,,2,1,,,,,,1,,1,,,1,,1,,,2,,,1,,,,,1,,,,,,1,,,,,1,,,,1
Mexico,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,1,,,,,,,1,1,,,1,,,1,,,,,,,,,1,,,,,,,,,,,
Mexico,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,1,,1,,2,,,1,,2,1,1,1,,1,1,1,,1,,,,,1,,,,,,,,,,,
Mexico,"Climate related disasters frequency, Number of Disasters: Flood",2,,2,,1,,1,2,,1,1,2,,2,,,1,,2,4,3,1,2,3,2,3,1,2,1,5,2,3,,1,,1,5,1,1,3,2,3,2
Mexico,"Climate related disasters frequency, Number of Disasters: Landslide",,,,1,,,,,,,,,,,,,,1,1,,,,,1,,,2,1,1,,2,,,,,,,,,,,,
Mexico,"Climate related disasters frequency, Number of Disasters: Storm",,1,1,2,1,,,,3,,1,1,1,5,,5,4,3,4,1,2,5,3,2,,4,3,4,1,2,4,5,2,4,6,3,2,4,2,3,5,7,3
Mexico,"Climate related disasters frequency, Number of Disasters: TOTAL",2,1,3,3,2,,1,2,5,2,3,3,3,7,,7,6,6,9,7,6,6,7,8,3,7,7,7,3,7,8,11,2,5,6,4,7,5,3,6,7,10,5
Mexico,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,
"Micronesia, Federated States of","Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,
"Micronesia, Federated States of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Micronesia, Federated States of","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,1,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,1,,,,1,,,
"Micronesia, Federated States of","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,1,,,,,,,,,,,1,,,,2,1,1,,,,1,,,,,,,1,1,,,1,,,
"Moldova, Rep. of","Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,
"Moldova, Rep. of","Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,
"Moldova, Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,1,,,1,,1,,,1,,,1,,,1,,1,,,,,,,,,,,,
"Moldova, Rep. of","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Moldova, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,2,,,1,,1,2,,1,,,2,,1,1,,1,,2,,,,,,,1,,,
Mongolia,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Mongolia,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,1,,,1
Mongolia,"Climate related disasters frequency, Number of Disasters: Flood",,,1,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,1,,,,,,,,,1,1,3,1,1
Mongolia,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Mongolia,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,1,1,,1,,,,,,,2,1,2,,,,,,1,,,,,,,,,,1,1,1,1,
Mongolia,"Climate related disasters frequency, Number of Disasters: TOTAL",,,1,,,,1,,,,2,1,,1,1,,2,,,,3,1,2,1,,,,,1,2,,,,,,1,1,1,3,3,4,2,2
Mongolia,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Montenegro,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,
Montenegro,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,1,,,,,1,,,,,
Montenegro,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Montserrat,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,"Climate related disasters frequency, Number of Disasters: Drought",,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Morocco,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,2,1,,,,
Morocco,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,3,1,1,,,2,1,1,1,,,3,,2,2,2,,,,1,,,,,2,,2,
Morocco,"Climate related disasters frequency, Number of Disasters: Landslide",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Morocco,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2,,,,,,,,
Morocco,"Climate related disasters frequency, Number of Disasters: TOTAL",,,1,1,1,,,,,,,,,,,3,2,1,,1,3,1,1,1,,1,3,,2,2,2,,1,,3,,1,2,1,3,,2,
"Mozambique, Rep. of","Climate related disasters frequency, Number of Disasters: Drought",,1,,,,,,1,,,1,,,,,,,,1,,,2,,1,,1,,1,1,,1,,,,,,1,,,,1,1,
"Mozambique, Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,1,,,,1,,,,1,,,,,,,,1,,1,1,2,1,3,,2,,4,1,1,1,2,,1,2,1,2,,1,3,2,1,1
"Mozambique, Rep. of","Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
"Mozambique, Rep. of","Climate related disasters frequency, Number of Disasters: Storm",,,,,1,1,,,1,,,,,,1,,1,1,,,4,,1,1,,,,1,1,1,,1,3,,,,1,1,,2,,1,3
"Mozambique, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",,2,,,1,2,,1,1,1,1,,,,1,,1,2,2,1,5,4,2,5,,3,,6,4,2,2,3,3,1,2,1,4,1,2,5,3,3,4
"Mozambique, Rep. of","Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Myanmar,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,1,1,,,1,,1,,1,,1,1,,,,1,4,,,,1,1,1,2,3,2,1,3,2,1,1,
Myanmar,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,2,1,,1,1,1,,
Myanmar,"Climate related disasters frequency, Number of Disasters: Storm",,,1,,,,,,,,,,,,1,,,,,,,,,,1,,1,,1,,1,,,,,1,2,1,,,,,
Myanmar,"Climate related disasters frequency, Number of Disasters: TOTAL",,1,1,,,,,,,,,1,1,,1,1,,1,,1,,1,1,,1,1,2,4,1,1,2,1,1,2,2,6,5,2,4,3,2,1,
Myanmar,"Climate related disasters frequency, Number of Disasters: Wildfire",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,"Climate related disasters frequency, Number of Disasters: Drought",,1,,,,,,,,,1,,,,,1,,,1,,,1,1,,,,,,,,,,,1,,1,,,1,,,,
Namibia,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,1,,,1,2,,2,1,1,1,1,1,1,1,,,,1,,,1,1,
Namibia,"Climate related disasters frequency, Number of Disasters: TOTAL",,1,,,,,,,,,1,,,,,1,,,1,,1,1,1,1,2,,2,1,1,1,1,1,1,2,,1,,1,1,,1,1,
Nepal,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Nepal,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,2,1,,,,,,1,,,,
Nepal,"Climate related disasters frequency, Number of Disasters: Flood",,2,1,1,1,1,1,1,1,,1,1,,1,,1,2,,2,1,1,,,1,1,2,1,1,2,2,2,2,1,2,3,,2,2,1,1,1,4,2
Nepal,"Climate related disasters frequency, Number of Disasters: Landslide",,,,1,,,,,1,1,,,,1,,2,,1,,,,1,1,,,1,2,,,1,,2,1,,2,2,,1,,,,,1
Nepal,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,1
Nepal,"Climate related disasters frequency, Number of Disasters: TOTAL",,2,1,2,1,1,2,1,3,1,1,2,1,2,,3,3,1,2,2,1,1,2,2,1,3,4,1,2,5,2,6,3,2,6,2,3,3,2,2,1,4,4
Nepal,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
Netherlands Antilles,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Netherlands, The","Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,1,,,,,,1,1,1,,
"Netherlands, The","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
"Netherlands, The","Climate related disasters frequency, Number of Disasters: Storm",,,,,1,1,1,,,,6,,,,1,1,,1,1,,,,1,,,1,,1,1,,1,,,3,,,1,,1,,,1,1
"Netherlands, The","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,1,1,1,,,,6,,1,1,1,1,,1,2,,,,1,1,,3,1,1,1,,1,,1,3,,,1,,2,1,1,2,1
New Caledonia,"Climate related disasters frequency, Number of Disasters: Storm",,3,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,
New Caledonia,"Climate related disasters frequency, Number of Disasters: TOTAL",,3,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,
New Zealand,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
New Zealand,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
New Zealand,"Climate related disasters frequency, Number of Disasters: Flood",2,1,,1,1,2,3,1,3,1,,1,,,1,,,1,1,1,1,,1,,2,1,1,,,,,,,,,2,1,1,1,,2,3,
New Zealand,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,1,,,,2,,,,1,1,,,1,,,1,,1,,1,,,,,1,1,,,,1,,,,1,1
New Zealand,"Climate related disasters frequency, Number of Disasters: TOTAL",2,1,,1,1,2,3,2,4,1,,1,3,,1,,1,2,1,1,2,1,1,1,2,2,1,1,,,,,1,2,,2,1,2,1,,3,4,1
New Zealand,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Nicaragua,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,1,,,1,,,1,1,,,,,,,,,,,,,1,,,,1,,,,
Nicaragua,"Climate related disasters frequency, Number of Disasters: Flood",1,,,,,,,,,,1,,,,,,,,,1,1,,1,,,,,1,2,2,2,1,1,1,1,1,,1,1,,,,
Nicaragua,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Nicaragua,"Climate related disasters frequency, Number of Disasters: Storm",,,1,,,,,,1,,,,,1,,1,2,,1,,2,1,1,,1,2,,1,1,1,2,,,,,,1,1,,,2,,2
Nicaragua,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,1,,,,,,1,,1,1,,1,1,1,2,1,1,2,4,2,3,,2,2,,2,3,3,4,1,1,1,2,1,1,2,2,,2,,2
Nicaragua,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
Niger,"Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,1,,1,,,,,,,1,,,,1,,,,1,,,,1,,1,,,,1,,1,,,1,,1
Niger,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,1,,,,,,1,,,,1,2,1,1,,1,,,1,1,1,1,2,2,1,2,1,1,2,2,1,2,2,1,1
Niger,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Niger,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,,,,,2,,1,,,,1,,,1,1,2,1,2,1,1,,1,1,1,1,2,2,3,1,2,1,2,2,3,1,2,3,1,2
Nigeria,"Climate related disasters frequency, Number of Disasters: Drought",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Nigeria,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
